fibrosis_type,density,fiber_angle_deg,trials,successes,failures
Compact,0.15,0,100,0,100
Compact,0.15,30,100,0,100
Compact,0.15,60,100,0,100
Compact,0.15,90,100,0,100
Compact,0.2,0,100,0,100
Compact,0.2,30,100,0,100
Compact,0.2,60,100,0,100
Compact,0.2,90,100,0,100
Compact,0.25,0,100,0,100
Compact,0.25,30,100,0,100
Compact,0.25,60,100,0,100
Compact,0.25,90,100,0,100
Compact,0.3,0,100,0,100
Compact,0.3,30,100,0,100
Compact,0.3,60,100,0,100
Compact,0.3,90,100,0,100
Compact,0.35,0,100,0,100
Compact,0.35,30,100,0,100
Compact,0.35,60,100,0,100
Compact,0.35,90,100,0,100
Compact,0.4,0,100,0,100
Compact,0.4,30,100,0,100
Compact,0.4,60,100,0,100
Compact,0.4,90,100,0,100
Compact,0.45,0,100,0,100
Compact,0.45,30,100,0,100
Compact,0.45,60,100,0,100
Compact,0.45,90,100,0,100
Compact,0.5,0,100,0,100
Compact,0.5,30,100,0,100
Compact,0.5,60,100,0,100
Compact,0.5,90,100,1,99
Compact,0.55,0,100,0,100
Compact,0.55,30,100,0,100
Compact,0.55,60,100,0,100
Compact,0.55,90,100,0,100
Compact,0.6,0,100,0,100
Compact,0.6,30,100,0,100
Compact,0.6,60,100,0,100
Compact,0.6,90,100,0,100
Compact,0.65,0,100,0,100
Compact,0.65,30,100,0,100
Compact,0.65,60,100,0,100
Compact,0.65,90,100,0,100
Diffuse,0.15,0,100,0,100
Diffuse,0.15,30,100,0,100
Diffuse,0.15,60,100,0,100
Diffuse,0.15,90,100,0,100
Diffuse,0.2,0,100,0,100
Diffuse,0.2,30,100,0,100
Diffuse,0.2,60,100,0,100
Diffuse,0.2,90,100,0,100
Diffuse,0.25,0,100,8,92
Diffuse,0.25,30,100,0,100
Diffuse,0.25,60,100,0,100
Diffuse,0.25,90,100,1,99
Diffuse,0.3,0,100,15,85
Diffuse,0.3,30,100,4,96
Diffuse,0.3,60,100,2,98
Diffuse,0.3,90,100,6,94
Diffuse,0.35,0,100,15,85
Diffuse,0.35,30,100,5,95
Diffuse,0.35,60,100,3,97
Diffuse,0.35,90,100,5,95
Diffuse,0.4,0,100,18,82
Diffuse,0.4,30,100,2,98
Diffuse,0.4,60,100,8,92
Diffuse,0.4,90,100,9,91
Diffuse,0.45,0,100,6,94
Diffuse,0.45,30,100,1,99
Diffuse,0.45,60,100,6,94
Diffuse,0.45,90,100,3,97
Diffuse,0.5,0,100,1,99
Diffuse,0.5,30,100,1,99
