fibrosis_type,density,trials,successes,failures
Compact,0.15,400,0,400
Compact,0.2,400,0,400
Compact,0.25,400,0,400
Compact,0.3,400,0,400
Compact,0.35,400,0,400
Compact,0.4,400,0,400
Compact,0.45,400,0,400
Compact,0.5,400,1,399
Compact,0.55,400,0,400
Compact,0.6,400,0,400
Compact,0.65,400,0,400
Diffuse,0.15,400,0,400
Diffuse,0.2,400,0,400
Diffuse,0.25,400,9,391
Diffuse,0.3,400,27,373
Diffuse,0.35,400,28,372
Diffuse,0.4,400,37,363
Diffuse,0.45,400,16,384
Diffuse,0.5,400,6,394
Diffuse,0.55,400,0,400
Diffuse,0.6,400,0,400
Diffuse,0.65,400,0,400
Interstitial,0.15,400,0,400
Interstitial,0.2,400,1,399
Interstitial,0.25,400,1,399
Interstitial,0.3,400,9,391
Interstitial,0.35,400,17,383
Interstitial,0.4,400,17,383
Interstitial,0.45,400,15,385
Interstitial,0.5,400,7,393
Interstitial,0.55,400,1,399
Interstitial,0.6,400,1,399
Interstitial,0.65,400,0,400
Patchy,0.15,400,0,400
Patchy,0.2,400,1,399
Patchy,0.25,400,3,397
Patchy,0.3,400,5,395
Patchy,0.35,400,5,395
Patchy,0.4,400,2,398
Patchy,0.45,400,8,392
Patchy,0.5,400,4,396
Patchy,0.55,400,0,400
Patchy,0.6,400,0,400
Patchy,0.65,400,0,400
Stochastic,0.15,400,0,400
Stochastic,0.2,400,0,400
Stochastic,0.25,400,65,335
Stochastic,0.3,400,0,400
Stochastic,0.35,400,13,387
Stochastic,0.4,400,19,381
Stochastic,0.45,400,0,400
Stochastic,0.5,400,0,400
Stochastic,0.55,400,0,400
Stochastic,0.6,400,0,400
Stochastic,0.65,400,0,400
