fibrosis_type,density,successes,trials,failures
compact,0.2,0,400,400
compact,0.25,0,400,400
compact,0.3,0,400,400
compact,0.35,0,400,400
compact,0.4,0,400,400
compact,0.45,0,400,400
compact,0.5,1,400,399
compact,0.55,0,400,400
compact,0.6,0,400,400
diffuse,0.2,0,400,400
diffuse,0.25,9,400,391
diffuse,0.3,27,400,373
diffuse,0.35,28,400,372
diffuse,0.4,37,400,363
diffuse,0.45,16,400,384
diffuse,0.5,6,400,394
diffuse,0.55,0,400,400
diffuse,0.6,0,400,400
interstitial,0.2,1,400,399
interstitial,0.25,1,400,399
interstitial,0.3,9,400,391
interstitial,0.35,17,400,383
interstitial,0.4,17,400,383
interstitial,0.45,15,400,385
interstitial,0.5,7,400,393
interstitial,0.55,1,400,399
interstitial,0.6,1,400,399
patchy,0.2,1,400,399
patchy,0.25,3,400,397
patchy,0.3,5,400,395
patchy,0.35,5,400,395
patchy,0.4,2,400,398
patchy,0.45,8,400,392
patchy,0.5,4,400,396
patchy,0.55,0,400,400
patchy,0.6,0,400,400
