fibrosis_type,fiber_angle_deg,density,seed,atpi,final_time_ms
compact,0,0.05,2323000660,2.0,0.0
compact,0,0.05,8281057198,2.0,0.0
compact,0,0.05,5279693496,2.0,0.0
compact,0,0.05,9056029292,2.0,0.0
compact,0,0.05,1675625465,2.0,0.0
compact,0,0.05,7357558571,2.0,0.0
compact,0,0.05,9052842836,2.0,0.0
compact,0,0.05,3556407089,2.0,0.0
compact,0,0.05,8147802193,2.0,0.0
compact,0,0.05,6657838753,2.0,0.0
compact,0,0.05,2429371439,2.0,0.0
compact,0,0.05,7843554712,2.0,0.0
compact,0,0.05,7773847238,2.0,0.0
compact,0,0.05,4936034257,2.0,0.0
compact,0,0.05,5859153705,2.0,0.0
compact,0,0.05,6288530517,2.0,0.0
compact,0,0.05,5126742590,2.0,0.0
compact,0,0.05,4601658087,2.0,0.0
compact,0,0.05,7828718996,2.0,0.0
compact,0,0.05,3188582674,2.0,0.0
compact,0,0.05,3320004656,2.0,0.0
diffuse,0,0.05,2323000660,2.0,0.0
compact,0,0.05,6101075833,2.0,0.0
diffuse,0,0.05,8281057198,2.0,0.0
compact,0,0.05,6668470416,2.0,0.0
diffuse,0,0.05,5279693496,2.0,0.0
compact,0,0.05,2625501404,2.0,0.0
diffuse,0,0.05,9056029292,2.0,0.0
compact,0,0.05,4343857888,2.0,0.0
diffuse,0,0.05,1675625465,2.0,0.0
compact,0,0.05,1685771831,2.0,0.0
diffuse,0,0.05,7357558571,2.0,0.0
compact,0,0.05,1856097065,2.0,0.0
diffuse,0,0.05,9052842836,2.0,0.0
compact,0,0.05,9586652161,2.0,0.0
diffuse,0,0.05,3556407089,2.0,0.0
compact,0,0.05,8563501408,2.0,0.0
diffuse,0,0.05,8147802193,2.0,0.0
compact,0,0.05,9421603667,2.0,0.0
interstitial,0,0.05,2323000660,2.0,0.0
diffuse,0,0.05,6657838753,2.0,0.0
compact,0,0.05,5847722053,2.0,0.0
interstitial,0,0.05,8281057198,2.0,0.0
diffuse,0,0.05,2429371439,2.0,0.0
patchy,0,0.05,2323000660,2.0,0.0
compact,0,0.05,4437314296,2.0,0.0
interstitial,0,0.05,5279693496,2.0,0.0
diffuse,0,0.05,7843554712,2.0,0.0
patchy,0,0.05,8281057198,2.0,0.0
compact,0,0.05,1326487139,2.0,0.0
interstitial,0,0.05,9056029292,2.0,0.0
diffuse,0,0.05,7773847238,2.0,0.0
patchy,0,0.05,5279693496,2.0,0.0
compact,0,0.05,5678886323,2.0,0.0
interstitial,0,0.05,1675625465,2.0,0.0
diffuse,0,0.05,4936034257,2.0,0.0
patchy,0,0.05,9056029292,2.0,0.0
compact,0,0.05,2954531406,2.0,0.0
interstitial,0,0.05,7357558571,2.0,0.0
diffuse,0,0.05,5859153705,2.0,0.0
patchy,0,0.05,1675625465,2.0,0.0
compact,0,0.05,3945455660,2.0,0.0
interstitial,0,0.05,9052842836,2.0,0.0
diffuse,0,0.05,6288530517,2.0,0.0
patchy,0,0.05,7357558571,2.0,0.0
compact,0,0.05,8697495792,2.0,0.0
interstitial,0,0.05,3556407089,2.0,0.0
diffuse,0,0.05,5126742590,2.0,0.0
patchy,0,0.05,9052842836,2.0,0.0
interstitial,0,0.05,8147802193,2.0,0.0
compact,0,0.05,8636259798,2.0,0.0
patchy,0,0.05,3556407089,2.0,0.0
diffuse,0,0.05,4601658087,2.0,0.0
interstitial,0,0.05,6657838753,2.0,0.0
patchy,0,0.05,8147802193,2.0,0.0
compact,0,0.05,25234347,2.0,0.0
diffuse,0,0.05,7828718996,2.0,0.0
interstitial,0,0.05,2429371439,2.0,0.0
patchy,0,0.05,6657838753,2.0,0.0
interstitial,0,0.05,7843554712,2.0,0.0
compact,0,0.05,9120653987,2.0,0.0
diffuse,0,0.05,3188582674,2.0,0.0
patchy,0,0.05,2429371439,2.0,0.0
interstitial,0,0.05,7773847238,2.0,0.0
patchy,0,0.05,7843554712,2.0,0.0
compact,0,0.05,7894122240,2.0,0.0
