fibrosis_type,density,trials,successes,failures
Compact,0.1,400,0,400
Compact,0.15,400,1,399
Compact,0.2,400,1,399
Compact,0.25,400,0,400
Compact,0.3,400,0,400
Compact,0.35,400,2,398
Compact,0.4,400,0,400
Compact,0.45,400,0,400
Compact,0.5,400,0,400
Compact,0.55,400,0,400
Diffuse,0.1,400,2,398
Diffuse,0.15,400,3,397
Diffuse,0.2,400,7,393
Diffuse,0.25,400,42,358
Diffuse,0.3,400,74,326
Diffuse,0.35,400,98,302
Diffuse,0.4,400,86,314
Diffuse,0.45,400,17,383
Diffuse,0.5,400,3,397
Diffuse,0.55,400,1,399
Interstitial,0.1,400,1,399
Interstitial,0.15,400,4,396
Interstitial,0.2,400,15,385
Interstitial,0.25,400,37,363
Interstitial,0.3,400,56,344
Interstitial,0.35,400,54,346
Interstitial,0.4,400,36,364
Interstitial,0.45,400,16,384
Interstitial,0.5,400,7,393
Interstitial,0.55,400,0,400
Patchy,0.1,400,1,399
Patchy,0.15,400,5,395
Patchy,0.2,400,8,392
Patchy,0.25,400,34,366
Patchy,0.3,400,23,377
Patchy,0.35,400,23,377
Patchy,0.4,400,14,386
Patchy,0.45,400,9,391
Patchy,0.5,400,3,397
Patchy,0.55,400,1,399
Stochastic,0.1,400,0,400
Stochastic,0.15,400,0,400
Stochastic,0.2,400,6,394
Stochastic,0.25,400,168,232
Stochastic,0.3,400,3,397
Stochastic,0.35,400,105,295
Stochastic,0.4,400,2,398
Stochastic,0.45,400,0,400
Stochastic,0.5,400,0,400
Stochastic,0.55,400,0,400
