fibrosis_type,fiber_angle_deg,density,prob,n_samples,std,se,ci_95,ci_lower,ci_upper
compact,0,0.05000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,0,0.10000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,0,0.15000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,0,0.20000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,0,0.25000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,0,0.30000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,0,0.35000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,0,0.40000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,0,0.45000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,0,0.50000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,0,0.55000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,0,0.60000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,0,0.65000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,0,0.70000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,0,0.75000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,0,0.80000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,0,0.85000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,0,0.90000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,30,0.05000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,30,0.10000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,30,0.15000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,30,0.20000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,30,0.25000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,30,0.30000,0.01000,100,0.10000,0.00995,0.01950,0.00000,0.02950
compact,30,0.35000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,30,0.40000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,30,0.45000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,30,0.50000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,30,0.55000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,30,0.60000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,30,0.65000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,30,0.70000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,30,0.75000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,30,0.80000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,30,0.85000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,30,0.90000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,60,0.05000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,60,0.10000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,60,0.15000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,60,0.20000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,60,0.25000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,60,0.30000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,60,0.35000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,60,0.40000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,60,0.45000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,60,0.50000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,60,0.55000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,60,0.60000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,60,0.65000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,60,0.70000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,60,0.75000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,60,0.80000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,60,0.85000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,60,0.90000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,90,0.05000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,90,0.10000,0.01000,100,0.10000,0.00995,0.01950,0.00000,0.02950
compact,90,0.15000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,90,0.20000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,90,0.25000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,90,0.30000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,90,0.35000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,90,0.40000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,90,0.45000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,90,0.50000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,90,0.55000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,90,0.60000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,90,0.65000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,90,0.70000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,90,0.75000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,90,0.80000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,90,0.85000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
compact,90,0.90000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,0,0.05000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,0,0.10000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,0,0.15000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,0,0.20000,0.01000,100,0.10000,0.00995,0.01950,0.00000,0.02950
diffuse,0,0.25000,0.06000,100,0.23868,0.02375,0.04655,0.01345,0.10655
diffuse,0,0.30000,0.13000,100,0.33800,0.03363,0.06592,0.06408,0.19592
diffuse,0,0.35000,0.11000,100,0.31447,0.03129,0.06133,0.04867,0.17133
diffuse,0,0.40000,0.05000,100,0.21904,0.02179,0.04272,0.00728,0.09272
diffuse,0,0.45000,0.03000,100,0.17145,0.01706,0.03344,0.00000,0.06344
diffuse,0,0.50000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,0,0.55000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,0,0.60000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,0,0.65000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,0,0.70000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,0,0.75000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,0,0.80000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,0,0.85000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,0,0.90000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,30,0.05000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,30,0.10000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,30,0.15000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,30,0.20000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,30,0.25000,0.02000,100,0.14071,0.01400,0.02744,0.00000,0.04744
diffuse,30,0.30000,0.04000,100,0.19695,0.01960,0.03841,0.00159,0.07841
diffuse,30,0.35000,0.05000,100,0.21904,0.02179,0.04272,0.00728,0.09272
diffuse,30,0.40000,0.06000,100,0.23868,0.02375,0.04655,0.01345,0.10655
diffuse,30,0.45000,0.03000,100,0.17145,0.01706,0.03344,0.00000,0.06344
diffuse,30,0.50000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,30,0.55000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,30,0.60000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,30,0.65000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,30,0.70000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,30,0.75000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,30,0.80000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,30,0.85000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,30,0.90000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,60,0.05000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,60,0.10000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,60,0.15000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,60,0.20000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,60,0.25000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,60,0.30000,0.05000,100,0.21904,0.02179,0.04272,0.00728,0.09272
diffuse,60,0.35000,0.11000,100,0.31447,0.03129,0.06133,0.04867,0.17133
diffuse,60,0.40000,0.09000,100,0.28762,0.02862,0.05609,0.03391,0.14609
diffuse,60,0.45000,0.07000,100,0.25643,0.02551,0.05001,0.01999,0.12001
diffuse,60,0.50000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,60,0.55000,0.01000,100,0.10000,0.00995,0.01950,0.00000,0.02950
diffuse,60,0.60000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,60,0.65000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,60,0.70000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,60,0.75000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,60,0.80000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,60,0.85000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,60,0.90000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,90,0.05000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,90,0.10000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,90,0.15000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,90,0.20000,0.01000,100,0.10000,0.00995,0.01950,0.00000,0.02950
diffuse,90,0.25000,0.10000,100,0.30151,0.03000,0.05880,0.04120,0.15880
diffuse,90,0.30000,0.15000,100,0.35887,0.03571,0.06999,0.08001,0.21999
diffuse,90,0.35000,0.16000,100,0.36845,0.03666,0.07185,0.08815,0.23185
diffuse,90,0.40000,0.06000,100,0.23868,0.02375,0.04655,0.01345,0.10655
diffuse,90,0.45000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,90,0.50000,0.01000,100,0.10000,0.00995,0.01950,0.00000,0.02950
diffuse,90,0.55000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,90,0.60000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,90,0.65000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,90,0.70000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,90,0.75000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,90,0.80000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,90,0.85000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
diffuse,90,0.90000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,0,0.05000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,0,0.10000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,0,0.15000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,0,0.20000,0.02000,100,0.14071,0.01400,0.02744,0.00000,0.04744
interstitial,0,0.25000,0.06000,100,0.23868,0.02375,0.04655,0.01345,0.10655
interstitial,0,0.30000,0.06000,100,0.23868,0.02375,0.04655,0.01345,0.10655
interstitial,0,0.35000,0.09000,100,0.28762,0.02862,0.05609,0.03391,0.14609
interstitial,0,0.40000,0.06000,100,0.23868,0.02375,0.04655,0.01345,0.10655
interstitial,0,0.45000,0.02000,100,0.14071,0.01400,0.02744,0.00000,0.04744
interstitial,0,0.50000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,0,0.55000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,0,0.60000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,0,0.65000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,0,0.70000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,0,0.75000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,0,0.80000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,0,0.85000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,0,0.90000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,30,0.05000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,30,0.10000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,30,0.15000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,30,0.20000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,30,0.25000,0.02000,100,0.14071,0.01400,0.02744,0.00000,0.04744
interstitial,30,0.30000,0.05000,100,0.21904,0.02179,0.04272,0.00728,0.09272
interstitial,30,0.35000,0.05000,100,0.21904,0.02179,0.04272,0.00728,0.09272
interstitial,30,0.40000,0.02000,100,0.14071,0.01400,0.02744,0.00000,0.04744
interstitial,30,0.45000,0.03000,100,0.17145,0.01706,0.03344,0.00000,0.06344
interstitial,30,0.50000,0.01000,100,0.10000,0.00995,0.01950,0.00000,0.02950
interstitial,30,0.55000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,30,0.60000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,30,0.65000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,30,0.70000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,30,0.75000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,30,0.80000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,30,0.85000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,30,0.90000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,60,0.05000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,60,0.10000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,60,0.15000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,60,0.20000,0.02000,100,0.14071,0.01400,0.02744,0.00000,0.04744
interstitial,60,0.25000,0.01000,100,0.10000,0.00995,0.01950,0.00000,0.02950
interstitial,60,0.30000,0.04000,100,0.19695,0.01960,0.03841,0.00159,0.07841
interstitial,60,0.35000,0.03000,100,0.17145,0.01706,0.03344,0.00000,0.06344
interstitial,60,0.40000,0.04000,100,0.19695,0.01960,0.03841,0.00159,0.07841
interstitial,60,0.45000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,60,0.50000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,60,0.55000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,60,0.60000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,60,0.65000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,60,0.70000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,60,0.75000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,60,0.80000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,60,0.85000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,60,0.90000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,90,0.05000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,90,0.10000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,90,0.15000,0.01000,100,0.10000,0.00995,0.01950,0.00000,0.02950
interstitial,90,0.20000,0.02000,100,0.14071,0.01400,0.02744,0.00000,0.04744
interstitial,90,0.25000,0.07000,100,0.25643,0.02551,0.05001,0.01999,0.12001
interstitial,90,0.30000,0.08000,100,0.27266,0.02713,0.05317,0.02683,0.13317
interstitial,90,0.35000,0.09000,100,0.28762,0.02862,0.05609,0.03391,0.14609
interstitial,90,0.40000,0.02000,100,0.14071,0.01400,0.02744,0.00000,0.04744
interstitial,90,0.45000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,90,0.50000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,90,0.55000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,90,0.60000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,90,0.65000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,90,0.70000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,90,0.75000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,90,0.80000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,90,0.85000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
interstitial,90,0.90000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,0,0.05000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,0,0.10000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,0,0.15000,0.00000,100,0.00000,0.00000,0.00000,0.00000,0.00000
patchy,0,0.20000,0.01000,100,0.10000,0.00995,0.01950,0.00000,0.02950
patchy,0,0.25000,0.01000,100,0.10000,0.00995,0.01950,0.00000,0.02950
patchy,0,0.30000,0.04000,100,0.19695,0.01960,0.03841,0.00159,0.07841
