fibrosis_type,density,successes,trials,failures
compact,0.1,0,400,400
compact,0.15,1,400,399
compact,0.2,1,400,399
compact,0.25,0,400,400
compact,0.3,0,400,400
compact,0.35,2,400,398
compact,0.4,0,400,400
compact,0.45,0,400,400
compact,0.5,0,400,400
compact,0.55,0,400,400
diffuse,0.1,2,400,398
diffuse,0.15,3,400,397
diffuse,0.2,7,400,393
diffuse,0.25,42,400,358
diffuse,0.3,74,400,326
diffuse,0.35,98,400,302
diffuse,0.4,86,400,314
diffuse,0.45,17,400,383
diffuse,0.5,3,400,397
diffuse,0.55,1,400,399
interstitial,0.1,1,400,399
interstitial,0.15,4,400,396
interstitial,0.2,15,400,385
interstitial,0.25,37,400,363
interstitial,0.3,56,400,344
interstitial,0.35,54,400,346
interstitial,0.4,36,400,364
interstitial,0.45,16,400,384
interstitial,0.5,7,400,393
interstitial,0.55,0,400,400
patchy,0.1,1,400,399
patchy,0.15,5,400,395
patchy,0.2,8,400,392
patchy,0.25,34,400,366
patchy,0.3,23,400,377
patchy,0.35,23,400,377
patchy,0.4,14,400,386
patchy,0.45,9,400,391
patchy,0.5,3,400,397
patchy,0.55,1,400,399
stochastic,0.1,0,400,400
stochastic,0.15,0,400,400
stochastic,0.2,6,400,394
stochastic,0.25,168,400,232
stochastic,0.3,3,400,397
stochastic,0.35,105,400,295
stochastic,0.4,2,400,398
stochastic,0.45,0,400,400
stochastic,0.5,0,400,400
stochastic,0.55,0,400,400
