fibrosis_type,density,successes,trials,failures
compact,0.45,1,400,399
compact,0.5,0,400,400
compact,0.55,0,400,400
compact,0.6,0,400,400
compact,0.65,0,400,400
compact,0.7,1,400,399
compact,0.75,0,400,400
compact,0.8,0,400,400
compact,0.85,0,400,400
diffuse,0.45,0,400,400
diffuse,0.5,1,400,399
diffuse,0.55,1,400,399
diffuse,0.6,5,400,395
diffuse,0.65,20,400,380
diffuse,0.7,44,400,356
diffuse,0.75,47,400,353
diffuse,0.8,34,400,366
diffuse,0.85,2,400,398
interstitial,0.45,0,400,400
interstitial,0.5,0,400,400
interstitial,0.55,0,400,400
interstitial,0.6,4,400,396
interstitial,0.65,3,400,397
interstitial,0.7,15,400,385
interstitial,0.75,61,400,339
interstitial,0.8,52,400,348
interstitial,0.85,2,400,398
patchy,0.45,0,400,400
patchy,0.5,1,400,399
patchy,0.55,1,400,399
patchy,0.6,1,400,399
patchy,0.65,4,400,396
patchy,0.7,11,400,389
patchy,0.75,38,400,362
patchy,0.8,40,400,360
patchy,0.85,21,400,379
