fibrosis_type,density,trials,successes,failures
Compact,0.4,400,0,400
Compact,0.45,400,1,399
Compact,0.5,400,0,400
Compact,0.55,400,0,400
Compact,0.6,400,0,400
Compact,0.65,400,0,400
Compact,0.7,400,1,399
Compact,0.75,400,0,400
Compact,0.8,400,0,400
Compact,0.85,400,0,400
Compact,0.9,400,0,400
Diffuse,0.4,400,0,400
Diffuse,0.45,400,0,400
Diffuse,0.5,400,1,399
Diffuse,0.55,400,1,399
Diffuse,0.6,400,5,395
Diffuse,0.65,400,20,380
Diffuse,0.7,400,44,356
Diffuse,0.75,400,47,353
Diffuse,0.8,400,34,366
Diffuse,0.85,400,2,398
Diffuse,0.9,400,0,400
Interstitial,0.4,400,0,400
Interstitial,0.45,400,0,400
Interstitial,0.5,400,0,400
Interstitial,0.55,400,0,400
Interstitial,0.6,400,4,396
Interstitial,0.65,400,3,397
Interstitial,0.7,400,15,385
Interstitial,0.75,400,61,339
Interstitial,0.8,400,52,348
Interstitial,0.85,400,2,398
Interstitial,0.9,400,0,400
Patchy,0.4,400,0,400
Patchy,0.45,400,0,400
Patchy,0.5,400,1,399
Patchy,0.55,400,1,399
Patchy,0.6,400,1,399
Patchy,0.65,400,4,396
Patchy,0.7,400,11,389
Patchy,0.75,400,38,362
Patchy,0.8,400,40,360
Patchy,0.85,400,21,379
Patchy,0.9,400,0,400
Stochastic,0.4,400,0,400
Stochastic,0.45,400,0,400
Stochastic,0.5,400,0,400
Stochastic,0.55,400,0,400
Stochastic,0.6,400,72,328
Stochastic,0.65,400,94,306
Stochastic,0.7,400,0,400
Stochastic,0.75,400,0,400
Stochastic,0.8,400,0,400
Stochastic,0.85,400,0,400
Stochastic,0.9,400,0,400
