fibrosis_type,density,trials,successes,failures
Compact,0.05,400,0,400
Compact,0.1,400,0,400
Compact,0.15,400,0,400
Compact,0.2,400,0,400
Compact,0.25,400,0,400
Compact,0.3,400,0,400
Compact,0.35,400,0,400
Compact,0.4,400,0,400
Compact,0.45,400,0,400
Compact,0.5,400,1,399
Compact,0.55,400,0,400
Compact,0.6,400,0,400
Compact,0.65,400,0,400
Compact,0.7,400,0,400
Compact,0.75,400,0,400
Compact,0.8,400,0,400
Compact,0.85,400,0,400
Compact,0.9,400,0,400
Compact,0.95,400,0,400
Diffuse,0.05,400,0,400
Diffuse,0.1,400,0,400
Diffuse,0.15,400,0,400
Diffuse,0.2,400,0,400
Diffuse,0.25,400,11,389
Diffuse,0.3,400,28,372
Diffuse,0.35,400,34,366
Diffuse,0.4,400,48,352
Diffuse,0.45,400,23,377
Diffuse,0.5,400,11,389
Diffuse,0.55,400,2,398
Diffuse,0.6,400,1,399
Diffuse,0.65,400,0,400
Diffuse,0.7,400,0,400
Diffuse,0.75,400,0,400
Diffuse,0.8,400,0,400
Diffuse,0.85,400,0,400
Diffuse,0.9,400,0,400
Diffuse,0.95,400,0,400
Interstitial,0.05,400,0,400
Interstitial,0.1,400,0,400
Interstitial,0.15,400,0,400
Interstitial,0.2,400,1,399
Interstitial,0.25,400,2,398
Interstitial,0.3,400,9,391
Interstitial,0.35,400,16,384
Interstitial,0.4,400,27,373
Interstitial,0.45,400,21,379
Interstitial,0.5,400,10,390
Interstitial,0.55,400,1,399
Interstitial,0.6,400,0,400
Interstitial,0.65,400,0,400
Interstitial,0.7,400,0,400
Interstitial,0.75,400,0,400
Interstitial,0.8,400,0,400
Interstitial,0.85,400,0,400
Interstitial,0.9,400,0,400
Interstitial,0.95,400,0,400
Patchy,0.05,400,0,400
Patchy,0.1,400,0,400
Patchy,0.15,400,0,400
Patchy,0.2,400,1,399
Patchy,0.25,400,1,399
Patchy,0.3,400,3,397
Patchy,0.35,400,4,396
Patchy,0.4,400,6,394
Patchy,0.45,400,9,391
Patchy,0.5,400,4,396
Patchy,0.55,400,0,400
Patchy,0.6,400,0,400
Patchy,0.65,400,0,400
Patchy,0.7,400,0,400
Patchy,0.75,400,0,400
Patchy,0.8,400,0,400
Patchy,0.85,400,0,400
Patchy,0.9,400,0,400
Patchy,0.95,400,0,400
Uniform,0.05,400,0,400
Uniform,0.1,400,0,400
Uniform,0.15,400,0,400
Uniform,0.2,400,0,400
Uniform,0.25,400,65,335
Uniform,0.3,400,1,399
Uniform,0.35,400,26,374
Uniform,0.4,400,66,334
Uniform,0.45,400,0,400
Uniform,0.5,400,0,400
Uniform,0.55,400,0,400
Uniform,0.6,400,0,400
Uniform,0.65,400,0,400
Uniform,0.7,400,0,400
Uniform,0.75,400,0,400
Uniform,0.8,400,0,400
Uniform,0.85,400,0,400
Uniform,0.9,400,0,400
Uniform,0.95,400,0,400
