fibrosis_type,fiber_angle_deg,density,seed,atpi,final_time_ms
compact,0,0.05,45240,2.0,0.0
compact,0,0.05,23230,2.0,0.0
compact,0,0.05,65155,2.0,0.0
compact,0,0.05,82809,2.0,0.0
compact,0,0.05,5677,2.0,0.0
compact,0,0.05,52796,2.0,0.0
compact,0,0.05,46897,2.0,0.0
compact,0,0.05,90559,2.0,0.0
compact,0,0.05,38775,2.0,0.0
compact,0,0.05,16756,2.0,0.0
compact,0,0.05,29551,2.0,0.0
compact,0,0.05,73575,2.0,0.0
compact,0,0.05,1104,2.0,0.0
compact,0,0.05,90527,2.0,0.0
compact,0,0.05,98995,2.0,0.0
compact,0,0.05,35564,2.0,0.0
compact,0,0.05,87119,2.0,0.0
compact,0,0.05,81477,2.0,0.0
compact,0,0.05,5862,2.0,0.0
compact,0,0.05,66578,2.0,0.0
compact,0,0.05,82077,2.0,0.0
compact,0,0.05,24294,2.0,0.0
compact,0,0.05,68937,2.0,0.0
compact,0,0.05,78434,2.0,0.0
compact,0,0.05,49941,2.0,0.0
compact,0,0.05,77737,2.0,0.0
compact,0,0.05,71425,2.0,0.0
compact,0,0.05,49360,2.0,0.0
compact,0,0.05,87525,2.0,0.0
compact,0,0.05,58591,2.0,0.0
compact,0,0.05,25439,2.0,0.0
compact,0,0.05,62885,2.0,0.0
compact,0,0.05,56,2.0,0.0
compact,0,0.05,51267,2.0,0.0
compact,0,0.05,40086,2.0,0.0
compact,0,0.05,46016,2.0,0.0
compact,0,0.05,38158,2.0,0.0
compact,0,0.05,78286,2.0,0.0
compact,0,0.05,45588,2.0,0.0
compact,0,0.05,31886,2.0,0.0
compact,0,0.05,4383,2.0,0.0
compact,0,0.05,33200,2.0,0.0
compact,0,0.05,65344,2.0,0.0
compact,0,0.05,61010,2.0,0.0
compact,0,0.05,47678,2.0,0.0
compact,0,0.05,66684,2.0,0.0
compact,0,0.05,76232,2.0,0.0
compact,0,0.05,26255,2.0,0.0
compact,0,0.05,73096,2.0,0.0
compact,0,0.05,43438,2.0,0.0
compact,0,0.05,5098,2.0,0.0
compact,0,0.05,16858,2.0,0.0
compact,0,0.05,31828,2.0,0.0
compact,0,0.05,18561,2.0,0.0
compact,0,0.05,37106,2.0,0.0
compact,0,0.05,95865,2.0,0.0
compact,0,0.05,6797,2.0,0.0
compact,0,0.05,85634,2.0,0.0
compact,0,0.05,3677,2.0,0.0
compact,0,0.05,94215,2.0,0.0
compact,0,0.05,67389,2.0,0.0
compact,0,0.05,58477,2.0,0.0
compact,0,0.05,41169,2.0,0.0
compact,0,0.05,44373,2.0,0.0
compact,0,0.05,13391,2.0,0.0
compact,0,0.05,13265,2.0,0.0
compact,0,0.05,92885,2.0,0.0
compact,0,0.05,56788,2.0,0.0
compact,0,0.05,44442,2.0,0.0
compact,0,0.05,29545,2.0,0.0
compact,0,0.05,4443,2.0,0.0
compact,0,0.05,39454,2.0,0.0
compact,0,0.05,10608,2.0,0.0
compact,0,0.05,86974,2.0,0.0
compact,0,0.05,83746,2.0,0.0
compact,0,0.05,86361,2.0,0.0
compact,0,0.05,42449,2.0,0.0
compact,0,0.05,253,2.0,0.0
compact,0,0.05,94754,2.0,0.0
compact,0,0.05,91205,2.0,0.0
compact,0,0.05,59127,2.0,0.0
compact,0,0.05,78940,2.0,0.0
compact,0,0.05,68847,2.0,0.0
compact,0,0.05,55604,2.0,0.0
