fibrosis_type,density,trials,successes,failures
Compact,0.05,400,0,400
Compact,0.1,400,0,400
Compact,0.15,400,0,400
Compact,0.2,400,0,400
Compact,0.25,400,0,400
Compact,0.3,400,0,400
Compact,0.35,400,3,397
Compact,0.4,400,1,399
Compact,0.45,400,0,400
Compact,0.5,400,1,399
Compact,0.55,400,0,400
Compact,0.6,400,0,400
Compact,0.65,400,0,400
Compact,0.7,400,0,400
Compact,0.75,400,0,400
Compact,0.8,400,0,400
Compact,0.85,400,0,400
Compact,0.9,400,0,400
Compact,0.95,400,0,400
Diffuse,0.05,400,0,400
Diffuse,0.1,400,2,398
Diffuse,0.15,400,3,397
Diffuse,0.2,400,8,392
Diffuse,0.25,400,44,356
Diffuse,0.3,400,87,313
Diffuse,0.35,400,120,280
Diffuse,0.4,400,106,294
Diffuse,0.45,400,47,353
Diffuse,0.5,400,10,390
Diffuse,0.55,400,1,399
Diffuse,0.6,400,1,399
Diffuse,0.65,400,0,400
Diffuse,0.7,400,0,400
Diffuse,0.75,400,0,400
Diffuse,0.8,400,0,400
Diffuse,0.85,400,0,400
Diffuse,0.9,400,0,400
Diffuse,0.95,400,0,400
Interstitial,0.05,400,0,400
Interstitial,0.1,400,1,399
Interstitial,0.15,400,4,396
Interstitial,0.2,400,18,382
Interstitial,0.25,400,38,362
Interstitial,0.3,400,60,340
Interstitial,0.35,400,73,327
Interstitial,0.4,400,46,354
Interstitial,0.45,400,22,378
Interstitial,0.5,400,4,396
Interstitial,0.55,400,1,399
Interstitial,0.6,400,0,400
Interstitial,0.65,400,0,400
Interstitial,0.7,400,0,400
Interstitial,0.75,400,0,400
Interstitial,0.8,400,0,400
Interstitial,0.85,400,0,400
Interstitial,0.9,400,0,400
Interstitial,0.95,400,0,400
Patchy,0.05,400,1,399
Patchy,0.1,400,1,399
Patchy,0.15,400,4,396
Patchy,0.2,400,12,388
Patchy,0.25,400,34,366
Patchy,0.3,400,24,376
Patchy,0.35,400,26,374
Patchy,0.4,400,11,389
Patchy,0.45,400,7,393
Patchy,0.5,400,3,397
Patchy,0.55,400,1,399
Patchy,0.6,400,0,400
Patchy,0.65,400,0,400
Patchy,0.7,400,0,400
Patchy,0.75,400,0,400
Patchy,0.8,400,0,400
Patchy,0.85,400,0,400
Patchy,0.9,400,0,400
Patchy,0.95,400,0,400
Uniform,0.05,400,0,400
Uniform,0.1,400,0,400
Uniform,0.15,400,0,400
Uniform,0.2,400,6,394
Uniform,0.25,400,168,232
Uniform,0.3,400,6,394
Uniform,0.35,400,132,268
Uniform,0.4,400,38,362
Uniform,0.45,400,0,400
Uniform,0.5,400,0,400
Uniform,0.55,400,0,400
Uniform,0.6,400,0,400
Uniform,0.65,400,0,400
Uniform,0.7,400,0,400
Uniform,0.75,400,0,400
Uniform,0.8,400,0,400
Uniform,0.85,400,0,400
Uniform,0.9,400,0,400
Uniform,0.95,400,0,400
